"X","Species","Type","site","lat","lon","alt","Biome","year","tree","DOY","MAT","Chill0_5","Chill_5_5","Chill_5_0","Chill_10_0","Force5s","photoperiod","scPDSI1","scPDSI2","scPDSI3","scPDSI4","scPDSI5","scPDSI6","scPDSI_p","SPEI1m1","SPEI1m2","SPEI1m3","SPEI1m4","SPEI1m5","SPEI1m6","SPEI1m_p","SPEI3m1","SPEI3m2","SPEI3m3","SPEI3m4","SPEI3m5","SPEI3m6","SPEI3m_p","SPEI6m1","SPEI6m2","SPEI6m3","SPEI6m4","SPEI6m5","SPEI6m6","SPEI6m_p","Precip","PrecipDOY"
"1","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2007,48,114,9.33912603786301,64,69,5,8,292.09272827107,13.98,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,1384.2,436
"2","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,16,108,10.4369863013699,45,55,10,10,342.176912978755,13.67,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,271.8
"3","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2007,56,110,8.13116673322192,65,83,18,21,200.289268520412,13.77,-1.46,-0.9,-0.48,-1.25,0.23,0.46,-1.25,0.025383,1.1179,0.60117,-1.7664,1.1538,0.32048,-1.7664,-0.33478,0.4154,0.89602,0.12916,0.038169,-0.096923,0.12916,0.84153,0.49528,0.88548,-0.18169,0.31606,0.54459,-0.18169,2176.82,718.56
"4","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,11,122,10.4369863013699,45,55,10,10,480.219637901661,14.43,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,274
"5","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,4,130,10.5280821917808,76,117,41,45,289.976805073549,14.84,-2.74,-2.58,1.16,1.27,2.05,1.65,1.27,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,-0.78837,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,0.66264,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,-0.4585,774,234.6
"6","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,2,123,10.5280821917808,76,117,41,45,223.52423020308,14.5,-2.74,-2.58,1.16,1.27,2.05,1.65,1.27,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,-0.78837,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,0.66264,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,-0.4585,774,188.4
"7","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,3,137,10.5280821917808,76,117,41,45,364.493974697464,15.15,-2.74,-2.58,1.16,1.27,2.05,1.65,2.05,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,1.6217,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,1.4621,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,0.56916,774,249.6
"8","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2007,64,110,8.13116673322192,65,83,18,21,200.289268520412,13.77,-1.46,-0.9,-0.48,-1.25,0.23,0.46,-1.25,0.025383,1.1179,0.60117,-1.7664,1.1538,0.32048,-1.7664,-0.33478,0.4154,0.89602,0.12916,0.038169,-0.096923,0.12916,0.84153,0.49528,0.88548,-0.18169,0.31606,0.54459,-0.18169,2176.82,718.56
"9","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,12,108,10.4369863013699,45,55,10,10,342.176912978755,13.67,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,271.8
"10","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,15,118,10.4369863013699,45,55,10,10,442.139505402824,14.22,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,272
