"","2015"
"1",24.981771996635
"2",33.3012341679663
"3",54.2497994858003
"4",79.0068266399434
"5",95.2767823582309
"6",114.529097992818
"7",141.926155300107
"8",144.594584640666
"9",167.031385417037
"10",167.031385417037
"11",192.339369407551
"12",216.146016294895
"13",222.674378600414
"14",235.215700718889
"15",242.14914132343
"16",248.610026867702
"17",257.806196889097
"18",264.157747873509
"19",288.76689495113
"20",294.434516228085
"21",302.849700719142
"22",324.111323509782
"23",338.481001516563
"24",348.983454832165
"25",370.602697291473
"26",381.890504856497
"27",392.744361060559
"28",418.795358070106
"29",445.331548614946
"30",449.803037161187
"31",461.565980838425
"32",465.040562679096
"33",470.39901482718
"34",479.137889130834
"35",495.126627473041
"36",497.469813443469
"37",523.652140518821
"38",548.278554837138
"39",563.156088295335
"40",579.051472597535
"41",584.804500843524
"42",602.219933832902
"43",622.195484935351
"44",648.228331400666
"45",674.450109882009
"46",699.447643916437
"47",699.447643916437
"48",708.853222287986
"49",721.145549498486
"50",742.674036373696
"51",762.224227635786
"52",770.121339714109
"53",792.562887263906
"54",805.556806282097
"55",815.444336772778
"56",836.585686255378
"57",853.786835543284
"58",858.696265116217
"59",871.120682994423
"60",893.475116939553
"61",908.615349744925
"62",932.939477796861
"63",949.632694510584
"64",962.040421552565
"65",988.747452253952
"66",1008.91990450951
"67",1016.95161234953
"68",1032.22349082081
"69",1058.06787045732
"70",1085.78288045508
"71",1101.60020298296
"72",1106.46926222041
"73",1120.81008199676
"74",1134.1435004418
"75",1136.85651219274
"76",1159.23141251496
"77",1182.74880529957
"78",1189.18502461783
"79",1200.27032367231
"80",1205.88593531266
"81",1223.08722917954
"82",1246.42602140312
"83",1271.8405447524
"84",1297.09949703157
"85",1318.02213815244
"86",1339.05933735954
"87",1363.77921407709
"88",1379.76389060762
"89",1396.37836482562
"90",1422.76368235426
"91",1446.45410452126
"92",1464.42443412027
"93",1486.79619313017
"94",1500.67970158718
"95",1519.54502113225
"96",1522.13557281296
"97",1547.45269715492
"98",1572.60738629145
"99",1591.31707594016
"100",1611.31854941003
"101",1635.60099129462
"102",1647.62740715894
"103",1668.50119149902
"104",1692.22493198065
"105",1702.05283150998
"106",1723.65592769253
"107",1747.53229458082
"108",1774.82364935876
"109",1786.47514853674
"110",1802.73231934174
"111",1825.13200758746
"112",1847.88480178553
"113",1871.94151083594
"114",1891.25796100459
"115",1917.22464155276
"116",1943.47011209657
"117",1970.47948583961
"118",1997.96406837175
"119",2014.87616549985
"120",2024.34404526794
"121",2051.36606650844
"122",2073.48299762639
"123",2095.94386322326
"124",2121.82501089465
"125",2145.52070184265
"126",2173.53264113678
"127",2189.96988643195
"128",2208.40176394688
"129",2230.25221176233
"130",2235.17968552801
"131",2261.44887136833
"132",2271.83503743951
"133",2287.2814262338
"134",2293.84814900275
"135",2306.90368029018
"136",2331.49736783447
"137",2339.47237231072
"138",2365.72184455097
"139",2393.1667332091
"140",2410.57231111935
"141",2438.72933224322
"142",2463.70153596821
"143",2479.39917463944
"144",2490.55334463013
"145",2514.3173114587
"146",2533.67479104426
"147",2543.47142611864
"148",2554.41825943328
"149",2577.43361823843
"150",2599.78448307468
"151",2625.81091265155
"152",2647.61456596867
"153",2652.10373389777
"154",2680.20628142672
"155",2703.95911678846
"156",2730.41881643944
"157",2756.0165602553
"158",2784.19931389152
"159",2803.02038906239
"160",2816.88327060075
"161",2843.28091621482
"162",2868.58379860013
"163",2882.13090102833
"164",2901.15527155795
"165",2916.52426916914
"166",2943.8380075266
"167",2957.34274562492
"168",2978.45845684567
"169",3003.81313478094
"170",3025.05179608356
"171",3049.69330501652
"172",3064.92676671315
"173",3073.58511320863
"174",3077.73167769209
"175",3100.67663383319
"176",3123.83562335267
"177",3142.89233413415
"178",3168.25983543833
"179",3191.19573858419
"180",3204.919764684
"181",3227.2421180112
"182",3250.92123862318
"183",3267.73851783234
"184",3281.40753907568
"185",3305.27332226376
"186",3333.16702422943
"187",3360.34710259156
"188",3368.20760043864
"189",3382.65834909875
"190",3409.24474125606
"191",3434.86003257043
"192",3458.46294353156
"193",3486.39291724451
"194",3507.17796559387
"195",3532.06656162969
"196",3559.00016505145
"197",3586.31012183632
"198",3593.86556113689
"199",3598.175550082
"200",3605.39840874697
"201",3630.51401057773
"202",3655.29469453499
"203",3682.56811270651
"204",3695.11963657344
"205",3717.83330648506
"206",3735.4693975249
"207",3759.75264579468
"208",3775.80589526101
"209",3791.4295138881
"210",3808.79763855158
"211",3834.90546685164
"212",3856.49896800597
"213",3881.86351114567
"214",3899.40212262613
"215",3908.09298917264
"216",3925.27786417224
"217",3952.12857150431
"218",3973.49967194867
"219",4000.8444032074
"220",4017.59421933762
"221",4039.13945348407
"222",4058.97761818319
"223",4085.2280305879
"224",4105.97460288707
"225",4129.2524816921
"226",4156.13765917684
"227",4177.86338280609
"228",4205.46855821954
"229",4232.32900010235
"230",4257.84607745733
