"","2015"
"1",16.6100293171529
"2",23.3073795946614
"3",33.1458036381738
"4",58.6380861371607
"5",68.3880839549228
"6",90.4789271633372
"7",105.302288586678
"8",129.966329867365
"9",148.166544828734
"10",166.020085191378
"11",171.4653498543
"12",191.34967437984
"13",213.285500778955
"14",235.443534656503
"15",242.55329125687
"16",250.071732177452
"17",263.544087330423
"18",286.008254457092
"19",294.005892852481
"20",306.70154694435
"21",313.294249277961
"22",325.199209776074
"23",335.042435678937
"24",343.935624006704
"25",361.188974369021
"26",379.194473041614
"27",379.194473041614
"28",382.982433308982
"29",385.343227013841
"30",405.046634531298
"31",405.046634531298
"32",420.740943208274
"33",433.887425629178
"34",440.041271141465
"35",466.251999623187
"36",470.494456031637
"37",492.102294659587
"38",499.384706374997
"39",524.996181386135
"40",547.259385223017
"41",567.159077647868
"42",578.178026425027
"43",594.760916121078
"44",617.085461388522
"45",631.05082015122
"46",653.963197711142
"47",678.954586770819
"48",694.919121611699
"49",706.514780987087
"50",732.865330239797
"51",753.897669550819
"52",762.109809467459
"53",776.666094186218
"54",800.734970147498
"55",805.252738216413
"56",810.340965730465
"57",818.777552438471
"58",835.99878271835
"59",861.177080406531
"60",881.64609285161
"61",906.295365046019
"62",913.469913219666
"63",935.702037626833
"64",945.953276846798
"65",952.347296434364
"66",964.209683659338
"67",990.132452699351
"68",1017.56137902895
"69",1031.34636624577
"70",1050.91257313435
"71",1076.55182342702
"72",1104.04737412433
"73",1120.91064984954
"74",1131.69459717652
"75",1158.27587500446
"76",1179.65329652375
"77",1203.37919322709
"78",1207.6497211691
"79",1216.98156251475
"80",1221.46938601817
"81",1231.86353757954
"82",1241.03216353981
"83",1248.83064432178
"84",1266.21682497931
"85",1280.14820717335
"86",1293.89482512555
"87",1310.16828087287
"88",1328.46309573618
"89",1343.26203558076
"90",1369.08597877662
"91",1391.19035366876
"92",1397.20201622723
"93",1399.51386391438
"94",1402.7707012137
"95",1430.00870709849
"96",1450.29910563123
"97",1474.10811804925
"98",1474.10811804925
"99",1477.96032210304
"100",1496.16441484342
"101",1522.18463866323
"102",1535.03061730476
"103",1552.17766785424
"104",1571.61639087529
"105",1591.97851521575
"106",1609.30791437867
"107",1634.65238446825
"108",1655.66934106625
"109",1673.2034856001
"110",1691.31405842067
"111",1715.25959133742
"112",1721.21938018316
"113",1744.63254836399
"114",1772.6208663604
"115",1781.78566881536
"116",1809.32543683342
"117",1833.98358085812
"118",1858.32084796202
"119",1870.82229697728
"120",1892.65272432339
"121",1892.65272432339
"122",1900.07083131658
"123",1925.63663047281
"124",1943.99066337996
"125",1971.4092088511
"126",1986.18630928926
"127",2006.85698570694
"128",2023.98099310236
"129",2041.84937566298
"130",2068.74437247757
"131",2088.20965015786
"132",2111.23390168092
"133",2130.09920517589
"134",2142.06667110536
"135",2169.99797504024
"136",2196.13033172105
"137",2206.52841846996
"138",2212.18017202657
"139",2238.54551597472
"140",2260.66364136331
"141",2285.1355328299
"142",2304.1083447467
"143",2328.01185804909
"144",2355.07915656534
"145",2379.96204807573
"146",2391.57323155147
"147",2419.63051382088
"148",2439.48016227955
"149",2459.69296859701
"150",2487.53511103624
"151",2515.27799814678
"152",2537.23317317749
"153",2549.15059357171
"154",2575.86118739722
"155",2597.64166399304
"156",2601.37475962017
"157",2617.52911485018
"158",2644.82727491318
"159",2650.19672657018
"160",2669.46503514796
"161",2684.75009185469
"162",2711.90838650483
"163",2727.41128280343
"164",2755.52274032756
"165",2764.66400191003
"166",2772.98622690814
"167",2794.43032403677
"168",2810.87548434856
"169",2836.12857148166
"170",2856.53063800706
"171",2875.51719021422
"172",2893.32156759727
"173",2902.82341842982
"174",2924.23247221318
"175",2927.98570370151
"176",2955.3836945475
"177",2976.49674857169
"178",3002.87164092428
"179",3023.8195834933
"180",3048.58971749574
"181",3071.50288293234
"182",3092.07796663003
"183",3106.28362889379
"184",3120.21874189004
"185",3147.9252859697
"186",3156.34796110547
"187",3174.22383861065
"188",3198.52648299482
"189",3225.75354788205
"190",3232.03989913651
"191",3250.47593454458
"192",3257.88229376015
"193",3274.25350662829
"194",3300.37725956237
"195",3313.95366382163
"196",3341.04642265495
"197",3364.97769060321
"198",3387.17641486123
"199",3410.67405846826
"200",3428.39276343737
"201",3456.39007301438
"202",3480.47724432528
"203",3496.158081147
"204",3516.37665886043
"205",3542.3488130102
"206",3567.68814540838
"207",3586.80122886234
"208",3592.29796278721
"209",3618.19374797058
"210",3645.26125333836
"211",3672.59110883481
"212",3688.26995908764
"213",3709.04626509541
"214",3731.11977395338
"215",3758.49074369606
"216",3784.62642640788
"217",3801.51286833228
"218",3821.96160399074
"219",3847.27946460582
"220",3873.28084152816
"221",3894.90337166114
"222",3897.98547989429
"223",3906.26638769452
"224",3915.28864121937
"225",3942.57794577641
"226",3961.20066113582
"227",3987.15836106966
"228",4014.50006209557
"229",4022.34340035277
"230",4041.4507836043
