"","2005"
"1",0
"2",6.34393249916709
"3",14.4069668819259
"4",20.4500272341143
"5",42.9005446493278
"6",56.2272774711729
"7",68.5473250346903
"8",83.4412213706718
"9",100.40292003699
"10",125.846628658542
"11",135.639477876727
"12",156.228455138921
"13",159.125192852156
"14",177.883802149821
"15",193.389097547425
"16",193.389097547425
"17",199.631511110839
"18",216.693045908742
"19",234.263311348461
"20",242.226343814305
"21",264.425312130358
"22",275.560128644815
"23",290.421243989408
"24",301.307768138932
"25",309.076910804859
"26",315.164776700808
"27",331.585221980252
"28",344.884731432311
"29",354.657657624807
"30",354.657657624807
"31",369.552811027934
"32",382.448201230711
"33",397.914270956958
"34",408.507882936123
"35",412.567084133964
"36",415.900144350824
"37",435.368078716114
"38",441.495081302581
"39",450.363446855759
"40",474.152294195818
"41",494.516959474572
"42",494.516959474572
"43",511.968143554119
"44",515.402933912846
"45",530.79282275885
"46",530.79282275885
"47",552.030015576998
"48",578.084409582886
"49",601.940890835685
"50",604.85254508941
"51",622.431892340183
"52",622.431892340183
"53",642.463419201935
"54",665.654414769174
"55",665.654414769174
"56",682.327694677202
"57",682.327694677202
"58",705.822962989689
"59",721.362140799412
"60",742.625657135345
"61",763.550407116947
"62",784.049067737918
"63",787.830792543869
"64",801.218982583269
"65",807.720410823688
"66",822.392017829098
"67",822.392017829098
"68",837.702741513538
"69",858.048317729392
"70",881.831227854097
"71",896.311334665276
"72",898.698228843479
"73",907.443844655867
"74",921.186918057746
"75",945.975672720959
"76",971.719933310408
"77",994.836617656647
"78",1008.3738640474
"79",1008.3738640474
"80",1025.15215737773
"81",1039.1251026346
"82",1042.73073304183
"83",1066.08416333448
"84",1066.08416333448
"85",1077.88113510697
"86",1090.68697544415
"87",1099.61746436854
"88",1108.63637450572
"89",1129.95728469587
"90",1145.22788018567
"91",1166.28297922744
"92",1174.87520985248
"93",1191.13460982815
"94",1207.08070166902
"95",1212.32948741348
"96",1221.39353988195
"97",1221.39353988195
"98",1240.06656708656
"99",1259.68728410995
"100",1268.63125313901
"101",1274.86724704692
"102",1283.30001622372
"103",1303.87770588017
"104",1317.98534519178
"105",1342.80081663572
"106",1352.05261785194
"107",1359.94019798176
"108",1366.0953935546
"109",1371.41754143919
"110",1384.59045749188
"111",1393.41420146867
"112",1414.7605977623
"113",1425.94688985178
"114",1432.02302581922
"115",1435.24541355013
"116",1441.16951901567
"117",1463.30884069483
"118",1491.03190185808
"119",1499.95178249781
"120",1520.16257451525
"121",1546.89869884485
"122",1568.12240761877
"123",1582.31445164458
"124",1590.60220448424
"125",1596.55197728411
"126",1620.15887513662
"127",1632.23212322947
"128",1657.11905842529
"129",1682.28669265291
"130",1705.63299137823
"131",1720.81413802107
"132",1735.01192536027
"133",1754.70164535594
"134",1762.64131974532
"135",1786.66285066788
"136",1804.68483114012
"137",1828.90089772209
"138",1841.94674656401
"139",1858.46236459887
"140",1869.48651768703
"141",1890.2442279026
"142",1892.47175468451
"143",1912.44854282039
"144",1916.15992274797
"145",1933.07305054245
"146",1944.56030660794
"147",1956.8032479156
"148",1960.56426184933
"149",1966.76218644807
"150",1975.6086661143
"151",2000.73855315647
"152",2017.92703779511
"153",2031.28411895886
"154",2046.26246491007
"155",2051.76725673038
"156",2076.25636502928
"157",2088.50708473633
"158",2109.3833863026
"159",2135.56641246801
"160",2154.89521071725
"161",2168.04971566269
"162",2187.67999911258
"163",2198.25569250275
"164",2202.10984705517
"165",2219.43082231747
"166",2240.25529561313
"167",2264.62901825785
"168",2284.55206795836
"169",2305.29086176516
"170",2321.90616838668
"171",2337.61596566791
"172",2362.39000443996
"173",2380.28049882678
"174",2402.48939536421
"175",2407.49822609899
"176",2434.12778298939
"177",2444.78454751521
"178",2458.36952239595
"179",2478.35024123898
"180",2500.50824490766
"181",2518.0053118475
"182",2534.74048595761
"183",2555.12224570505
"184",2568.46189929588
"185",2580.33049451251
"186",2597.63239160915
"187",2618.68710111601
"188",2642.00572755349
"189",2667.6484256852
"190",2675.04481718421
"191",2682.27176658918
"192",2707.15878412807
"193",2730.06990437897
"194",2753.52689570246
"195",2778.44010816119
"196",2793.15382695353
"197",2798.91579543615
"198",2815.35174825252
"199",2836.50999459755
"200",2850.95314606342
"201",2874.06323339468
"202",2898.48982052732
"203",2925.19632918741
"204",2933.73270260157
"205",2961.27530280784
"206",2982.9249983528
"207",2999.65981141191
"208",3023.48174823469
"209",3031.92593114698
"210",3051.79404830933
"211",3079.12640624554
"212",3082.56048349428
"213",3110.26759341887
"214",3134.04572882377
"215",3149.2736392826
"216",3158.09464676381
"217",3176.68076738
"218",3185.85701269248
"219",3209.82059324892
"220",3224.63826331302
"221",3251.73088438254
"222",3275.558389705
"223",3291.67369898573
"224",3303.06620214777
"225",3322.70662900168
"226",3326.51276656147
"227",3329.45310773609
"228",3354.84834532059
"229",3360.92682668507
"230",3378.24964697506
