"","2015"
"1",18.9511433426842
"2",24.9982407059682
"3",24.9982407059682
"4",31.7261037889364
"5",31.7261037889364
"6",56.5121893881282
"7",65.2191501780987
"8",70.1486876393873
"9",70.1486876393873
"10",70.1486876393873
"11",80.417732848195
"12",86.3145217904036
"13",89.9754650609591
"14",89.9754650609591
"15",89.9754650609591
"16",102.782894131893
"17",105.415826175477
"18",111.278697095898
"19",111.278697095898
"20",118.726203207771
"21",118.726203207771
"22",121.397191986411
"23",126.292557570152
"24",126.292557570152
"25",126.292557570152
"26",128.722628054825
"27",131.824095964713
"28",131.824095964713
"29",149.572184646841
"30",162.431180252089
"31",180.950661789969
"32",180.950661789969
"33",200.236533475997
"34",202.488470928178
"35",202.488470928178
"36",202.488470928178
"37",209.768789476509
"38",209.768789476509
"39",224.876365933687
"40",224.876365933687
"41",228.86584446678
"42",236.954384374176
"43",236.954384374176
"44",236.954384374176
"45",236.954384374176
"46",239.983787724888
"47",239.983787724888
"48",245.395928009512
"49",245.395928009512
"50",245.395928009512
"51",245.395928009512
"52",245.395928009512
"53",245.395928009512
"54",245.395928009512
"55",245.395928009512
"56",245.395928009512
"57",248.67031985784
"58",261.408554798081
"59",265.118810050791
"60",269.26062160242
"61",278.994181449191
"62",287.000372771335
"63",310.93146167152
"64",314.335177302562
"65",318.060258799919
"66",336.994581145338
"67",336.994581145338
"68",340.024978704912
"69",342.2922418871
"70",342.2922418871
"71",344.664766679233
"72",348.322265659602
"73",351.871059340993
"74",359.947690080054
"75",364.466954616417
"76",367.098479957401
"77",383.086459964698
"78",383.086459964698
"79",401.164266925093
"80",405.159209509799
"81",410.767322519824
"82",416.44331736326
"83",424.545542658993
"84",436.739811125236
"85",440.604797191313
"86",454.773611808543
"87",454.773611808543
"88",457.000807034715
"89",457.000807034715
"90",462.09863377178
"91",470.452991105208
"92",474.311709827136
"93",474.311709827136
"94",485.377409023348
"95",485.377409023348
"96",485.377409023348
"97",491.45040379201
"98",491.45040379201
"99",491.45040379201
"100",497.522581183782
"101",505.202650937094
"102",511.02276976489
"103",514.195413570954
"104",529.601001048103
"105",537.365201976739
"106",539.931234533979
"107",550.584402481473
"108",550.584402481473
"109",563.451719449594
"110",571.934421964615
"111",575.674131212124
"112",580.664099948234
"113",584.125848571584
"114",584.125848571584
"115",587.886574391963
"116",605.848859309536
"117",619.758042720764
"118",622.673752177783
"119",632.14637445117
"120",632.14637445117
"121",637.524966209023
"122",643.16215672259
"123",663.720555443346
"124",673.454577653005
"125",676.714385248708
"126",687.919917410075
"127",687.919917410075
"128",705.351896178343
"129",705.351896178343
"130",717.689105412658
"131",722.083926484195
"132",728.001115894729
"133",739.424229600992
"134",754.494097820248
"135",758.104581105589
"136",783.724216608305
"137",788.837274364911
"138",798.713523680332
"139",821.341579850073
"140",843.747233282012
"141",851.149484841754
"142",873.648980179138
"143",875.914673896326
"144",884.09856683682
"145",891.881913254124
"146",895.013952198978
"147",895.013952198978
"148",916.745548742598
"149",925.303494216498
"150",932.968388234584
"151",958.976703238342
"152",958.976703238342
"153",962.028475065482
"154",968.710031689952
"155",973.600323658489
"156",973.600323658489
"157",985.995070939
"158",1009.31629518084
"159",1019.25036251922
"160",1036.51338440009
"161",1048.22525770778
"162",1058.55992717841
"163",1058.55992717841
"164",1070.38625924012
"165",1089.36844056711
"166",1089.36844056711
"167",1093.36685783986
"168",1101.70408683449
"169",1106.22776544172
"170",1118.98972587458
"171",1137.52156685949
"172",1141.0567170219
"173",1141.0567170219
"174",1145.92352357462
"175",1153.9927264272
"176",1157.02133881752
"177",1173.26025864608
"178",1173.26025864608
"179",1197.49754289395
"180",1207.28391275253
"181",1228.07430306777
"182",1228.07430306777
"183",1231.21730143255
"184",1258.50459148766
"185",1263.40786877558
"186",1272.28678312236
"187",1276.93721093498
"188",1290.66040334596
"189",1290.66040334596
"190",1296.01565193927
"191",1308.666149596
"192",1313.71440631456
"193",1330.94565159512
"194",1344.52933321371
"195",1344.52933321371
"196",1353.84490645596
"197",1359.44542876069
"198",1366.26602361039
"199",1378.77787929555
"200",1403.91850272759
"201",1412.93262536138
"202",1416.61011890457
"203",1430.48631830709
"204",1434.00158690737
"205",1447.62381129396
"206",1454.3854276201
"207",1461.73299647492
"208",1461.73299647492
"209",1481.06210899838
"210",1504.26931661949
"211",1514.94207421013
"212",1519.33937697351
"213",1522.8595696628
"214",1528.78169998439
"215",1548.70441744768
"216",1556.88338493554
"217",1560.50738808772
"218",1560.50738808772
"219",1563.32652180626
"220",1576.62569561489
"221",1584.92492176568
"222",1597.35212307383
"223",1620.58449220989
"224",1623.37846449327
"225",1623.37846449327
"226",1631.11767549416
"227",1635.81419707066
"228",1660.46725049496
"229",1666.77078694549
"230",1669.55870128155
