"","2004"
"1",7.56182024762169
"2",28.3228547230365
"3",51.9335252011144
"4",68.9195022224014
"5",79.4210352174926
"6",82.0998853580001
"7",84.3094005254097
"8",97.1470869791846
"9",97.1470869791846
"10",114.932662686254
"11",114.932662686254
"12",117.949416801478
"13",141.227793507596
"14",145.688836567879
"15",148.686679414573
"16",160.887820094674
"17",165.880788750052
"18",170.955994496975
"19",170.955994496975
"20",175.221197506897
"21",201.067581058914
"22",210.472056316243
"23",210.472056316243
"24",215.685020219293
"25",221.842958029171
"26",221.842958029171
"27",225.77585892253
"28",228.310118690759
"29",245.395930440641
"30",255.080449876991
"31",278.602906442112
"32",286.689556433718
"33",293.280835911781
"34",304.217207569471
"35",310.584229867646
"36",328.542432023771
"37",330.873286613638
"38",354.58821071769
"39",362.96622711003
"40",368.591497703175
"41",391.72165969188
"42",396.509827984254
"43",411.999566603131
"44",420.124885595416
"45",437.484750444899
"46",441.646484639513
"47",468.856721121553
"48",474.636869039927
"49",474.636869039927
"50",482.366486685204
"51",482.366486685204
"52",495.376646569441
"53",504.797779378326
"54",507.148300858077
"55",516.206814162358
"56",516.206814162358
"57",523.654039160005
"58",535.06301216697
"59",539.808210080224
"60",548.949148460016
"61",555.805758051284
"62",578.898170773721
"63",578.898170773721
"64",583.133096457843
"65",598.307740899095
"66",612.346024402323
"67",630.070391080194
"68",637.39537565983
"69",658.593865554413
"70",675.750297356781
"71",678.017898868569
"72",683.33678812451
"73",683.33678812451
"74",694.776735341969
"75",717.097058797222
"76",723.630060480585
"77",740.744420977297
"78",762.42647537132
"79",766.411917157737
"80",766.411917157737
"81",779.733288099648
"82",789.421727092975
"83",809.780876642459
"84",815.680535097742
"85",834.963657693098
"86",842.35254018571
"87",862.023337184794
"88",867.413842727287
"89",873.631985885831
"90",882.094358602532
"91",904.195091233919
"92",915.256166267633
"93",937.143069566471
"94",959.108427826871
"95",959.108427826871
"96",965.341169355426
"97",972.837291325071
"98",991.959274445877
"99",1004.65382561124
"100",1014.71466118562
"101",1022.50341583804
"102",1022.50341583804
"103",1026.57578334405
"104",1049.94186177847
"105",1074.32977094106
"106",1081.68069623437
"107",1088.3043661433
"108",1093.88102273046
"109",1103.8621339647
"110",1123.66254635137
"111",1126.65054233344
"112",1129.20772604907
"113",1142.74064314097
"114",1148.89539264402
"115",1161.19220399574
"116",1173.10659282257
"117",1180.88503463481
"118",1208.17884996855
"119",1213.01627511088
"120",1237.51465007956
"121",1260.00280141423
"122",1277.5540024183
"123",1303.89959849491
"124",1321.39309120371
"125",1330.98202730723
"126",1350.17701473714
"127",1369.84663230108
"128",1393.24527752438
"129",1398.81602077324
"130",1404.33640020749
"131",1404.33640020749
"132",1413.71475058353
"133",1424.97230263095
"134",1449.77325523193
"135",1467.17688867564
"136",1491.99271592122
"137",1519.19648860192
"138",1524.48973965073
"139",1540.94400741569
"140",1557.21508935684
"141",1569.944237293
"142",1573.4162419788
"143",1598.76155435171
"144",1611.09423270171
"145",1625.05929850904
"146",1640.00268462894
"147",1660.74614798659
"148",1680.98057724818
"149",1702.74441743932
"150",1711.98212468648
"151",1730.1925690623
"152",1745.37770041158
"153",1759.23146004446
"154",1780.02372591127
"155",1793.38370063151
"156",1796.64165020804
"157",1814.04847595037
"158",1816.28705947086
"159",1824.58769503286
"160",1830.63267880041
"161",1836.69976085804
"162",1857.46270055997
"163",1874.99365447297
"164",1891.52221416293
"165",1908.0134278934
"166",1926.65663219352
"167",1947.39221209096
"168",1957.22583650526
"169",1969.55473998477
"170",1992.49476335907
"171",2006.34638946505
"172",2030.2528860434
"173",2045.67985262656
"174",2063.7476398692
"175",2074.6133236258
"176",2079.12282845458
"177",2101.57029720268
"178",2114.5644537598
"179",2120.29425013708
"180",2143.86533015427
"181",2151.07535244118
"182",2156.83933980246
"183",2181.68437913004
"184",2190.34617913286
"185",2194.87636916805
"186",2217.78298652856
"187",2240.52159778709
"188",2247.36110727502
"189",2256.67878129414
"190",2256.67878129414
"191",2282.97810233733
"192",2303.23244391031
"193",2326.97449490663
"194",2353.5095095697
"195",2363.68178553591
"196",2363.68178553591
"197",2383.64474543303
"198",2406.13319485466
"199",2411.09868810151
"200",2435.57326381957
"201",2459.3154622549
"202",2473.80449541189
"203",2494.06118957374
"204",2510.5339045672
"205",2522.38909358189
"206",2525.54504370286
"207",2539.61519670483
"208",2543.43483283657
"209",2555.69926485409
"210",2580.40948585646
"211",2604.50614058938
"212",2618.75003723919
"213",2633.82614302577
"214",2660.8262873125
"215",2681.66254304546
"216",2684.43407438892
"217",2699.80073111987
"218",2708.75274331409
"219",2722.36755789829
"220",2725.72586786441
"221",2737.09527320102
"222",2737.09527320102
"223",2749.85664577775
"224",2773.57904636997
"225",2799.65450374229
"226",2811.84415330655
"227",2815.21797008679
"228",2838.37841208908
"229",2838.37841208908
"230",2853.45261864824
