"lat","site","year","spat","fu","photo","phen"
48.35,"ABR",2007,9.62211033935023,191.578247454164,9.2,30
48.35,"ABR",2009,9.34168377086098,180.125929654803,9.79,41
48.35,"ABR",2008,9.5293042611683,186.678652841672,9.34,33
48.73333333,"AMN",2007,10.9864091089601,180.003275023789,9.52,37
48.73333333,"AMN",2006,9.78164023922986,175.462694917127,9.12,29
48.47,"GRA",2007,8.91099701158627,178.190320379568,10.03,46
48.47,"GRA",2008,7.61927853465892,185.638023104038,10.25,50
48.746533,"AMA",2006,9.82359210433745,181.988807888625,10.31,51
48.746533,"AMA",2007,9.95020960082875,182.86090167509,10.07,47
48.746533,"AMA",2013,10.3469393399727,175.516027472145,9.44,35
48.746533,"AMA",2008,9.7601793220635,174.768036633103,9.61,39
48.48333333,"GRD",2007,9.08586560413641,185.138723306987,9.44,35
48.48333333,"GRD",2008,8.87027535051883,184.270321805649,10.02,46
48.48333333,"GRD",2009,8.5994019502523,188.512682981551,10.17,48
41.86666667,"PES",2015,8.20266917376157,239.501607977698,11.65,72
48.36666667,"WAL",2007,11.1090637783285,181.448039130116,8.96,25
48.36666667,"WAL",2008,10.6692077431463,181.539806531836,9.64,39
48.36666667,"WAL",2009,10.8872355975697,179.945351124501,9.63,38
46.73333333,"BOR",2015,8.1658102613354,190.948467546581,10.58,54
38.76666667,"SER",2015,10.724673441056,261.408554798081,11.1,58
48.43333333,"ARV",1999,3.52703156599385,179.868952070735,13.37,103
48.43333333,"ARV",2000,4.59107400624118,181.003814677268,12.19,83
48.21666667,"SIM",2005,3.48120038749355,184.742651594722,13.11,98
48.21666667,"SIM",2006,1.3645406245155,178.371511702884,13.43,104
48.21666667,"SIM",2008,2.47098598926202,183.168013074445,12.78,93
48.21666667,"SIM",2007,3.07429124676642,194.487673171794,13.19,100
48.21666667,"SIM",2003,1.96646132000873,179.602226332177,15.2,140
48.21666667,"SIM",2004,2.60379791308996,180.731232834406,14.57,126
48.21666667,"SIM",2011,2.54412698179771,180.214541101494,13.81,111
48.21666667,"SIM",2012,2.40368062314329,181.66980146628,13.07,98
48.21666667,"SIM",2009,1.36908809016708,182.873175971604,15.02,135
48.21666667,"SIM",2010,1.88186440897088,181.207250728975,13.55,106
48.21666667,"SIM",2002,3.02987179624357,179.3847636446,13.03,97
48.21666667,"SIM",2014,2.56553275313737,182.027130176047,14.25,119
48.21666667,"SIM",2013,2.34502692575091,184.037477467441,15.02,135
49.96666667,"L24",1998,1.28878308570106,166.359729843538,14.82,127
49.96666667,"L24",1999,0.489881680131641,165.864294537146,15.33,138
49.96666667,"L24",2001,1.13565558684378,171.733969969546,14.07,113
49.96666667,"L24",2000,0.564950449911318,170.789209180414,15.27,137
49.96666667,"L23",2000,2.72126448098433,163.913482645583,12.82,93
49.96666667,"L23",1998,0.33367486315001,164.446569922056,14.39,119
49.96666667,"L23",1999,2.00168665556218,166.463969784327,14.54,122
48.2,"SIM2",2014,2.10131042206374,183.321544902499,14.09,116
48.2,"SIM2",2012,3.0225612308776,179.94743927456,14.01,115
48.2,"SIM2",2013,2.90021894319838,183.697518808481,12.82,93
48.2,"SIM2",2011,3.02240740464703,187.483957851487,12.33,85
